delegator_address,node_identity_id,last_claimed_epoch
0xdd110f9167c16db2f71d9f3a47d47988a5e530ad,10,6
0xded9521912ee0afed354b6b4cdb47b9941c9cc2b,10,6
0x0b23cded376bcad8faaf345cf2e23991aa03829f,10,6
0x2e7797c30a53442d50a567ea451967c3411ce7aa,10,6
0x64b4086ae5ac4fd2a19dedf511f35c7666dc872f,10,6
0xa3e17f3559e7520fea3c87bbecb411c5199c359c,10,6
0xc0aea64654af4a0b51a9e3b791cc2512e76d88d7,10,6
0xc4e5b8eb0ad9e04d27a1f223ced57a17d549a6d3,10,6
0xe2279952dcc9bc80307faf048bdd80afed9ca663,10,6
0xe23b5fd78c7230ce4d1f414255789751f22f6d47,10,6
0xc40bca6fb415a0e1307c56fcb12329e6a16a78be,12,6
0x874d218e6d28534d7af5ff97674be65eda375b18,12,6
0x6cf9518911f98be2f9b655efceccb4e988a33935,12,6
0x4c9be7044779ff6713238ad5ce60298c78314c7a,12,6
0x2549393a45a63dc08ecf6cb2c76710dcfc6832fd,12,6
0x533cea0111aad10cb8ebedfcf992556a8da1daf1,12,6
0x4d8ae772132ce83301e07457f12ea74b6ddccc93,12,6
0xbc4474161cc3f712f4c5f0e5f481ac7a82fed52f,12,6
0xc5dc925205346ab8cb774fecb316fd7ad7b78c6b,12,6
0x961debf98ecfc3085554ff217d235ce1cb445be9,12,6
0xa058f05a1a54c7fc473fe6169b5cb9e83aa0a68f,12,6
0x86de4d5e5498b0d635c29e187d38c6f0be76889a,12,6
0x42d9c67a77773fade2b14fb4aec95fbce61e23ee,12,6
0x23852ad4213645013e5b073738a8514f88ecf5be,12,6
0x71d7d9836884ab6801160f3f12063b262f44fe7a,12,6
0x8cea81b7f23a0f56cd98a76cc9a82f2970ba1f7e,12,6
0xb31fb8f1629fd1523bbd4f0aef474bece3e3453e,12,6
0x874d218e6d28534d7af5ff97674be65eda375b18,13,6
0x9b3a67c038cd22c8eda541061c213f3099650ea4,13,6
0xe23a6b2ec7954704422afe8c4c422803928408ba,13,6
0x48e3d72961360c382548d42bb4dda346386bf01c,13,6
0xaa6ac66852739b8b88f8e6605c0b0fa775d1ed61,13,6
0x7457667ee63bca3c134f246af687091e7e259bc2,13,6
0x37d0ab7f87c6790a53f6ac8ab3950bc6f77bb9bd,13,6
0x3f0c43a28e2ff930d194a42b97dfe2ae06c5f5ec,13,6
0x0e62bdc912a42367ae317ffd35c1b647c739c422,13,6
0x22b750c56a1e6e20799d470a8949896dc3f55c45,13,6
0x42d9c67a77773fade2b14fb4aec95fbce61e23ee,13,6
0xdd110f9167c16db2f71d9f3a47d47988a5e530ad,13,6
0xb939053577269eeb39bceea2b9f99de05ba7668b,13,6
0x6f4ebbba78f679c5eb4ddcb53d9051079113c5de,13,6
0xd1effd61437e29b12788f1914da6da3c98932352,13,6
0x599c59081d9b673bbddafbc933b669aa84ea3ee1,16,0
0x48ed67c359e46d6ad9173de87d6e7f45b56de3a0,16,6
